country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
ECA,1992,1904.251015,0.316783069,474.1148269,3560.095614,3885852.608,9.829773101,1316.925703,16.27663348,6.838137426,8.46993E+11,2151.540602,49.97331059,0.342137703,395314578.3,0.411930223,248427644.9
ECU,1992,1775.7,1.483735076,103.490069,582.2471225,22302.694,2.079450785,369.6068162,26.13466258,22.06084315,11996750826,1040,47.4,2.184783768,10725281,3.15062923,6025462.866
EGY,1992,5898.7,1.096630505,170.8778576,562.5491955,81264.387,1.377260434,418.3515224,21.11962483,2.017587719,41855483504,740,83,1.798980049,59004372,1.475579444,25501689.58
EMU,1992,4541.24294,1.100230325,146.1023681,3488.567413,2655681.737,8.635642641,361.6635972,17.60274221,12.24755962,6.51281E+12,20847.22534,8.778097237,0.4481044,307525664,0.639032069,218082720.1
ESP,1992,1956.1,2.167168099,119.7099998,2434.894561,245098.613,6.27368131,308.4414415,22.22077289,7.946517681,6.12584E+11,15220,9.9,0.330516538,39067750,0.462334226,29535219
FIN,1992,2845.8,0.359914841,259.2416244,5380.98453,49126.799,9.74351428,469.4167872,17.9796906,8.698686387,1.10129E+11,23450,6,0.556882868,5042000,0.556882903,3095788
FRA,1992,6488.2,1.590678062,160.3420373,3959.990191,397037.091,6.762558354,273.819462,22.09277268,10.41204612,1.37297E+12,23390,8,0.437301725,58711078,0.652529142,43692784.25
GBR,1992,6324.5,1.516730487,158.4084287,3685.486015,587453.4,10.20231484,438.5127649,25.94653427,22.49388434,1.09175E+12,18980,8.3,0.270432919,57580403,0.338008099,51142913.94
GHA,1992,1042.1,0.350870348,386.3910541,362.2074871,4096.039,0.261629984,279.0982763,13.12142358,13.9953274,6412625105,430,116,2.848821087,15655847,4.821692326,5930434.844
GRC,1992,3606.7,1.022859849,120.1375621,2135.904725,75503.53,7.28095757,409.5297331,29.77351013,6.244250882,1.11843E+11,10790,11.5,1.066418183,10370000,1.236053575,6118300
GTM,1992,1839.5,0.901268282,149.8501117,518.0347411,6017.547,0.643923306,186.2654599,8.704683616,25.96360311,10440842292,1050,70,2.317049691,9345130,3.27628966,3915609.47
HND,1992,1328.5,1.392026562,176.6283286,484.6621159,3076.613,0.595621813,217.0660381,11.91625786,14.99717837,3419474979,610,52.9,2.718651911,5165380,3.696654817,2122971.18
HUN,1992,3646,3.970438024,230.5686171,2419.674982,58716.004,5.662462446,539.57087,18.89764258,4.656041444,37254463739,3170,16.8,-0.039136581,10369341,-0.22200771,6798139.96
IDN,1992,3817,1.277348796,255.5020238,579.9141118,202576.081,1.063322059,468.484785,9.747595959,10.78284078,1.39116E+11,660,77.1,1.619575382,190512441,4.73509216,62107055.77
IND,1992,2024.8,0.11260797,304.2186175,388.10315,783634.233,0.88764793,695.7918946,10.29874142,5.184453421,2.45553E+11,330,108.7,1.862573145,882821000,2.714301097,229003767.4
